id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
33544578,QUIET AND PRACTISE ACCOMMODATION BUSINESS/LEISURE,252728759,Joëlle,Saint-Mdard-en-Jalles,Saint-Mdard-en-Jalles,44.88086,-0.69183,Entire home/apt,44,1,23,2019-11-21,3.47,1,105
33545341,Magnifique Maison en Hyper-Centre de Bordeaux,135834277,Entourage,Bordeaux,Saint Augustin - Tauzin - Alphonse Dupeux,44.83553,-0.58319,Entire home/apt,220,2,6,2019-10-31,1.01,8,0
33545505,Very nice one bedroom apartment in the heart of Chartrons,47630405,Nicolas,Bordeaux,Chartrons - Grand Parc - Jardin Public,44.85081,-0.57178,Entire home/apt,62,1,17,2019-11-11,2.50,29,322
33545535,"Charming 2 bedroom apartment with Patio, located in the Golden Triangle.",47630405,Nicolas,Bordeaux,Centre ville (Bordeaux),44.84204,-0.58107,Entire home/apt,86,1,27,2019-11-11,3.84,29,323
33547633,Studio - Bordeaux Université médecine,52503226,Stephen,Bordeaux,Saint Augustin - Tauzin - Alphonse Dupeux,44.82608,-0.61299,Entire home/apt,40,6,2,2019-07-14,0.34,1,0
33550683,Architect house 3 bedrooms with pool.,47630405,Nicolas,Bordeaux,Caudran,44.86162,-0.62091,Entire home/apt,250,1,4,2019-08-23,0.63,29,138
33554372,Jolie chambre pour 1 personne,250521786,Michele,Le Taillan-Mdoc,Le Taillan-Mdoc,44.90442,-0.67756,Private room,25,2,10,2019-11-08,1.32,2,50
33567321,Bel appartement grand et calme dans Bordeaux,60216055,Bastien,Bordeaux,Centre ville (Bordeaux),44.84461,-0.59378,Entire home/apt,33,3,4,2019-05-17,0.50,1,0
33568031,Joli appartement T2 avec terrasse,34594751,Marion,Bordeaux,Bordeaux Maritime,44.85886,-0.5669,Entire home/apt,40,2,9,2019-11-11,1.19,1,0
33568722,Chambre Zen RdC dans Villa centre Mérignac,157151486,Thierry,Merignac,Beaudsert,44.83875,-0.68632,Private room,32,1,4,2019-07-23,0.65,2,147
33572214,T2 50m2 Cenon  portes de bordeaux,118021608,Aurélien,Cenon,Palmer-Gravires-Cavailles,44.86124,-0.52477,Entire home/apt,39,2,28,2019-09-29,4.00,1,0
33573411,Grande terrasse avec une vue panoramique,46606586,Dalie,Bordeaux,Centre ville (Bordeaux),44.84343,-0.59456,Entire home/apt,45,2,24,2019-11-03,3.29,1,11
33574589,Joli chambre sur les Quais de Bordeaux,103828161,Ervin,Bordeaux,Bordeaux Sud,44.82987,-0.55647,Private room,40,1,58,2019-08-30,7.50,1,0
33577343,Appartement cozy à deux pas de la victoire,27726892,Sarah,Bordeaux,Bordeaux Sud,44.82804,-0.57098,Entire home/apt,50,3,3,2019-11-03,0.44,1,2
33579238,la petite maison,102871751,Cathrine,Merignac,Arlac,44.82046,-0.61977,Entire home/apt,50,3,0,,,2,0
33582654,Studio proche universités et tramway,188534601,Anthony,Talence,Talence,44.79764,-0.59241,Entire home/apt,30,1,26,2019-11-19,3.38,1,60
33585455,2 pièces au calme à Bordeaux,33655640,Elodie,Bordeaux,Chartrons - Grand Parc - Jardin Public,44.86325,-0.57636,Private room,50,1,10,2019-09-15,1.44,1,0
33586077,Maison avec jardin Bordeaux centre,253078074,Gabriel,Bordeaux,Centre ville (Bordeaux),44.83759,-0.59318,Entire home/apt,100,3,13,2019-08-11,1.79,1,136
33586419,"Location T3 meublé, piscine/jardin à Bordeaux",116868696,Tawba,Villenave-d'Ornon,Villenave-d'Ornon,44.76416,-0.57434,Entire home/apt,70,2,30,2019-11-08,4.07,1,164
33586776,"T2 avec belle terrasse, proche Bordeaux et océan",60404501,Floriane,Eysines,Eysines,44.89034,-0.6551,Entire home/apt,50,2,1,2019-05-30,0.17,2,175
