,id,host_id,room_type,bedrooms,price,count of reviews,days of occupancy,Yearly income,Zone
331,7003167,36714131,Entire home/apt,1,55,16,67.19999999999999,3695.9999999999995,5
332,7004022,36717536,Entire home/apt,1,105,75,256.0,26880.0,5
333,7012727,19092932,Entire home/apt,1,85,12,50.4,4284.0,2
334,7040671,36919283,Entire home/apt,1,55,23,96.6,5313.0,5
335,7098778,37207222,Entire home/apt,2,75,18,75.6,5670.0,6
336,7120535,37300565,Private room,1,35,16,67.19999999999999,2351.9999999999995,6
337,7127790,6064193,Entire home/apt,2,88,8,33.599999999999994,2956.7999999999993,3
338,7141748,21257842,Entire home/apt,1,90,8,33.599999999999994,3023.9999999999995,2
339,7161372,2891921,Entire home/apt,2,160,41,172.2,27552.0,1
340,7183075,32486742,Entire home/apt,Studio,56,100,256.0,14336.0,5
341,7213482,37767472,Entire home/apt,1,55,32,134.39999999999998,7391.999999999999,3
342,7262356,38021458,Private room,1,23,22,92.39999999999999,2125.2,5
343,7263631,17635417,Shared room,1,24,14,58.8,1411.1999999999998,1
344,7276401,38097770,Private room,1,60,89,256.0,15360.0,1
345,7335129,4889824,Entire home/apt,1,60,9,37.8,2268.0,3
346,7341367,38454470,Entire home/apt,3+,85,39,163.79999999999998,13922.999999999998,5
347,7390837,3450487,Entire home/apt,1,50,22,92.39999999999999,4620.0,3
348,7391822,38728750,Private room,1,29,17,71.39999999999999,2070.6,3
349,7401458,38781201,Entire home/apt,2,59,9,37.8,2230.2,3
350,7432889,38934427,Entire home/apt,1,90,10,42.0,3780.0,1
351,7454935,20965298,Private room,1,28,14,58.8,1646.3999999999999,4
352,7475272,11550668,Entire home/apt,3+,190,9,37.8,7181.999999999999,2
353,7479162,24214241,Entire home/apt,3+,100,22,92.39999999999999,9240.0,3
354,7525312,17807803,Private room,1,25,9,37.8,944.9999999999999,6
355,7541863,15116567,Entire home/apt,3+,300,9,37.8,11340.0,1
356,7551130,39575399,Private room,1,40,36,151.2,6048.0,3
357,7553866,39591008,Private room,1,33,16,67.19999999999999,2217.5999999999995,6
358,7578136,39733438,Private room,1,31,64,256.0,7936.0,3
359,7591190,39809521,Entire home/apt,3+,160,10,42.0,6720.0,1
360,7645010,40115363,Entire home/apt,Studio,50,10,42.0,2100.0,4
361,7653957,22544660,Private room,1,37,72,256.0,9472.0,2
362,7681597,40343758,Entire home/apt,3+,230,8,33.599999999999994,7727.999999999999,1
363,7691386,17832583,Entire home/apt,1,65,39,163.79999999999998,10646.999999999998,1
364,7740654,20317698,Private room,1,23,83,256.0,5888.0,2
365,7746748,40720519,Private room,1,33,63,256.0,8448.0,1
366,7754587,40771624,Entire home/apt,1,65,16,67.19999999999999,4367.999999999999,2
367,7760873,27879500,Entire home/apt,2,79,27,113.39999999999999,8958.599999999999,3
368,7773391,40889120,Private room,1,44,33,138.6,6098.4,1
369,7794768,20317698,Private room,1,23,75,256.0,5888.0,4
