,id,host_id,room_type,bedrooms,price,count of reviews,days of occupancy,Yearly income,Zone,latitude,longitude,geometry
211,5451536,9008328,Private room,1,40,71,256,10240,2,44.83643,-0.5685,POINT (-0.5685 44.83643)
212,5484825,28442798,Entire home/apt,2,69,13,78,5382,5,44.83292,-0.6289399999999999,POINT (-0.6289399999999999 44.83292)
213,5492868,28484660,Entire home/apt,1,70,19,114,7980,6,44.788109999999996,-0.5688,POINT (-0.5688 44.78811)
214,5497254,28511099,Private room,1,35,25,150,5250,1,44.84633,-0.5768,POINT (-0.5768 44.84633)
215,5501605,1895672,Entire home/apt,2,70,15,90,6300,3,44.85756,-0.57176,POINT (-0.57176 44.85756)
216,5514719,28604639,Entire home/apt,2,68,12,72,4896,2,44.835409999999996,-0.569,POINT (-0.569 44.83541)
217,5535324,7816835,Entire home/apt,2,135,81,256,34560,1,44.84012,-0.57065,POINT (-0.57065 44.84012)
218,5541162,28733953,Entire home/apt,Studio,80,8,48,3840,2,44.83698,-0.5701,POINT (-0.5701000000000001 44.83698)
219,5541670,19194298,Private room,1,30,9,54,1620,1,44.85265,-0.6097899999999999,POINT (-0.6097899999999999 44.85265)
220,5563329,6642737,Private room,1,52,12,72,3744,6,44.87789,-0.55312,POINT (-0.5531199999999999 44.87789)
221,5583634,11047267,Entire home/apt,3+,145,13,78,11310,5,44.83935,-0.55435,POINT (-0.55435 44.83935)
222,5615011,16434447,Private room,1,25,7,42,1050,6,44.8264,-0.62747,POINT (-0.62747 44.8264)
223,5635855,26344474,Entire home/apt,1,72,70,256,18432,1,44.839079999999996,-0.57375,POINT (-0.57375 44.83908)
224,5654422,29147218,Entire home/apt,2,140,11,66,9240,2,44.83654,-0.57511,POINT (-0.57511 44.83654)
225,5656541,29318237,Entire home/apt,2,70,39,234,16380,2,44.83273,-0.5736399999999999,POINT (-0.5736399999999999 44.83273)
226,5667279,24211012,Private room,1,39,22,132,5148,6,44.84483,-0.64679,POINT (-0.64679 44.84483)
227,5678939,29443702,Entire home/apt,1,68,19,114,7752,1,44.84107,-0.5806100000000001,POINT (-0.5806100000000001 44.84107)
